Age,AgexTI1,AgexTI2,AgexTI3,AgexTI4,AgexTI5,PCE1,PCE2,PCE3,PCE4,PC1,PC2,PC3,PC4,PN1,PN2,PN3,PN4,TI1,TI2,TI3,TI4,TI5
-1.047,4.937,5.705,4.32,4.997,1.761,-3,-4.015,-4.934,-3.429,-1.581,-1.624,-1.698,-0.565,1.072,-1.275,-0.496,-0.473,-4.53,-5.084,-3.992,-4.899,-1.785
1.209,-0.002,-0.059,1.493,-2.492,-2.453,-4.053,-4.015,-3.925,-4.378,-1.581,-2.625,-1.698,-1.634,-1.553,-0.467,-1.252,-1.268,0.087,0.022,1.248,-1.833,-1.785
-1.047,-0.21,-1.277,-0.325,0.634,1.761,-4.053,-4.015,-3.925,-3.429,0.59,-0.623,0.404,-0.565,1.072,0.341,1.016,-0.473,0.087,1.044,0.2,-0.811,-1.785
0.081,-0.206,-0.086,-0.177,-0.299,-0.263,-1.947,-2.276,-2.915,-3.429,-1.581,-3.626,-2.749,-2.704,-0.678,-1.275,-0.496,-0.473,-1.068,0.022,-0.848,-0.811,-0.81
-1.047,-0.21,-0.114,0.836,1.724,2.829,-3,-2.276,-2.915,-2.481,-1.581,-1.624,-0.647,-0.565,0.197,-0.467,0.26,-0.473,0.087,0.022,-0.848,-1.833,-2.759
-1.047,2.363,3.378,1.997,2.815,2.829,-3,-2.276,-2.915,-3.429,-2.667,-2.625,-2.749,-3.773,-2.429,-2.891,-2.008,-2.064,-2.222,-3.041,-1.896,-2.855,-2.759
-1.047,1.076,1.05,1.997,1.724,2.829,-1.947,-3.146,-2.915,-2.481,-1.581,-1.624,-0.647,-0.565,0.197,-0.467,1.016,-0.473,-1.068,-0.999,-1.896,-1.833,-2.759
0.081,-0.405,-0.447,-0.447,-0.468,-0.511,-1.947,-3.146,-1.906,-2.481,-2.667,-2.625,-3.8,-3.773,-2.429,-2.891,-2.763,-2.064,-3.376,-4.062,-3.992,-2.855,-3.734
0.081,-0.306,-0.266,-0.177,-0.299,-0.263,-3,-3.146,-2.915,-3.429,-1.581,-0.623,-1.698,-1.634,0.197,1.149,-0.496,0.323,-2.222,-2.02,-0.848,-0.811,-0.81
-1.047,1.076,1.05,1.997,2.815,0.693,-1.947,-2.276,-2.915,-2.481,-1.581,-0.623,-1.698,-1.634,-1.553,-2.083,-2.008,-1.268,-1.068,-0.999,-1.896,-2.855,-0.81
0.081,-0.306,-0.266,-0.267,-0.468,-0.429,-1.947,-2.276,-1.906,-2.481,-1.581,-1.624,-1.698,-1.634,-0.678,-0.467,0.26,0.323,-2.222,-2.02,-1.896,-2.855,-2.759
-1.047,-0.21,-0.114,0.836,0.634,1.761,-1.947,-2.276,-1.906,-2.481,-0.495,-1.624,-1.698,-1.634,-1.553,-1.275,-1.252,-1.268,0.087,0.022,-0.848,-0.811,-1.785
0.081,-0.306,-0.266,-0.177,-0.299,-0.346,-3,-1.407,-1.906,-1.532,-1.581,-1.624,-2.749,-2.704,-2.429,-2.083,-3.519,-2.064,-2.222,-2.02,-0.848,-0.811,-1.785
1.209,-1.488,-1.403,-1.19,-1.232,-1.22,-0.895,-1.407,-0.896,-2.481,-1.581,-1.624,-1.698,-1.634,-2.429,-2.083,-2.008,-2.064,-1.068,-0.999,-0.848,-0.811,-0.81
0.081,-0.306,-0.176,-0.267,-0.384,-0.346,-0.895,-0.538,-1.906,-1.532,-0.495,0.379,-0.647,-0.565,-1.553,-1.275,-2.008,-2.064,-2.222,-0.999,-1.896,-1.833,-1.785
-1.047,1.076,2.214,3.158,2.815,1.761,-1.947,-2.276,-0.896,-1.532,-0.495,-0.623,-1.698,-0.565,-0.678,-2.083,-0.496,-0.473,-1.068,-2.02,-2.944,-2.855,-1.785
1.209,-0.002,-1.403,0.152,-1.232,1.247,0.158,-3.146,-2.915,-0.584,-2.667,-0.623,0.404,-0.565,-0.678,0.341,-2.763,-2.064,0.087,-0.999,0.2,-0.811,1.139
0.081,-0.206,-0.176,-0.177,-0.384,-0.346,-0.895,-0.538,-1.906,-1.532,-1.581,-1.624,-1.698,-1.634,-1.553,-0.467,-0.496,-0.473,-1.068,-0.999,-0.848,-1.833,-1.785
-1.047,1.076,1.05,1.997,1.724,2.829,-1.947,-2.276,-0.896,-1.532,-1.581,-1.624,-1.698,-1.634,-0.678,-1.275,-2.008,-2.064,-1.068,-0.999,-1.896,-1.833,-2.759
-1.047,-0.21,1.05,0.836,1.724,-0.375,-1.947,-1.407,-0.896,-1.532,0.59,-1.624,-0.647,-1.634,-0.678,-2.083,-1.252,-1.268,0.087,-0.999,-0.848,-1.833,0.164
-1.047,1.076,1.05,0.836,0.634,0.693,-0.895,-1.407,-0.896,-1.532,0.59,0.379,-0.647,-0.565,0.197,-1.275,-1.252,-1.268,-1.068,-0.999,-0.848,-0.811,-0.81
0.081,-0.206,-0.176,-0.177,-0.384,-0.181,-0.895,-0.538,-0.896,-1.532,-0.495,-0.623,0.404,-0.565,-1.553,-2.083,-3.519,-1.268,-1.068,-0.999,-0.848,-1.833,0.164
-1.047,-0.21,2.214,-0.325,1.724,-1.443,-1.947,-1.407,-0.896,-0.584,0.59,-2.625,-0.647,-1.634,0.197,-0.467,0.26,-0.473,0.087,-2.02,0.2,-1.833,1.139
0.081,-0.106,-0.266,-0.177,-0.384,-0.263,0.158,-0.538,-0.896,-1.532,-0.495,-0.623,-1.698,-0.565,0.197,0.341,-0.496,-0.473,0.087,-2.02,-0.848,-1.833,-0.81
-1.047,-0.21,1.05,-0.325,0.634,0.693,0.158,-1.407,-0.896,-1.532,-1.581,-1.624,-0.647,-1.634,0.197,-0.467,0.26,0.323,0.087,-0.999,0.2,-0.811,-0.81
2.338,0.102,2.567,-2.202,-2.165,0.208,-0.895,0.331,-0.896,-1.532,-0.495,-1.624,-0.647,-0.565,-1.553,-2.083,-1.252,-2.064,0.087,1.044,-0.848,-0.811,0.164
-1.047,-0.21,1.05,0.836,-0.457,1.761,0.158,0.331,-1.906,-0.584,-1.581,0.379,0.404,-0.565,-1.553,-2.083,-0.496,-2.064,0.087,-0.999,-0.848,0.211,-1.785
-1.047,-1.497,-0.114,-0.325,0.634,0.693,0.158,-0.538,-0.896,-1.532,0.59,-0.623,0.404,0.505,-0.678,-1.275,-0.496,0.323,1.241,0.022,0.2,-0.811,-0.81
0.081,-0.206,-0.086,-0.177,-0.215,-0.346,-0.895,-3.146,-0.896,-1.532,0.59,-0.623,0.404,0.505,0.197,-1.275,-0.496,-2.86,-1.068,0.022,-0.848,0.211,-1.785
-1.047,1.076,-0.114,0.836,1.724,0.693,-1.947,-1.407,-0.896,-1.532,-1.581,-1.624,-0.647,-0.565,0.197,0.341,-0.496,-1.268,-1.068,0.022,-0.848,-1.833,-0.81
-1.047,1.076,-0.114,0.836,1.724,0.693,-0.895,-0.538,-0.896,-1.532,-1.581,0.379,-0.647,-0.565,-0.678,-0.467,0.26,-0.473,-1.068,0.022,-0.848,-1.833,-0.81
0.081,-0.206,-0.086,-0.177,-0.384,-0.263,-0.895,-1.407,-0.896,-0.584,-1.581,-1.624,-1.698,-0.565,-0.678,-0.467,-0.496,-1.268,-1.068,0.022,-0.848,-1.833,-0.81
0.081,-0.306,-0.086,-0.267,-0.215,-0.346,0.158,-0.538,0.114,-0.584,-1.581,0.379,-0.647,0.505,0.197,-2.083,0.26,-1.268,-2.222,0.022,-1.896,0.211,-1.785
0.081,-0.106,-0.357,-0.087,-0.384,-0.263,0.158,-0.538,0.114,-0.584,0.59,-2.625,-0.647,-2.704,0.197,-2.083,-0.496,-2.064,0.087,-3.041,0.2,-1.833,-0.81
-1.047,1.076,2.214,0.836,-0.457,0.693,-0.895,-0.538,-0.896,-0.584,0.59,-0.623,-1.698,-0.565,-0.678,-1.275,-0.496,0.323,-1.068,-2.02,-0.848,0.211,-0.81
0.081,-0.206,-0.176,-0.267,-0.299,-0.346,0.158,-0.538,-0.896,-0.584,0.59,0.379,-0.647,-0.565,0.197,-0.467,1.016,-0.473,-1.068,-0.999,-1.896,-0.811,-1.785
1.209,1.484,-1.403,0.152,-1.232,-1.22,-0.895,-0.538,-0.896,-0.584,-0.495,-1.624,-0.647,-0.565,-0.678,0.341,-0.496,-0.473,1.241,-0.999,0.2,-0.811,-0.81
-1.047,1.076,1.05,0.836,1.724,2.829,0.158,-0.538,0.114,-1.532,-0.495,-0.623,-1.698,-1.634,0.197,0.341,0.26,0.323,-1.068,-0.999,-0.848,-1.833,-2.759
0.081,-0.007,-0.176,-0.087,-0.215,-0.263,1.211,0.331,-0.896,-1.532,0.59,-0.623,1.455,-0.565,0.197,0.341,-0.496,-0.473,1.241,-0.999,0.2,0.211,-0.81
-1.047,1.076,2.214,1.997,2.815,2.829,-0.895,-2.276,-0.896,-0.584,-0.495,-1.624,-1.698,-0.565,-0.678,-0.467,-0.496,-0.473,-1.068,-2.02,-1.896,-2.855,-2.759
-1.047,1.076,1.05,1.997,0.634,2.829,-1.947,-1.407,0.114,-0.584,-1.581,0.379,-0.647,-0.565,0.197,-0.467,0.26,0.323,-1.068,-0.999,-1.896,-0.811,-2.759
0.081,-0.007,-0.176,-0.267,-0.215,-0.263,-0.895,-0.538,-0.896,0.365,0.59,-1.624,-1.698,0.505,-2.429,-0.467,0.26,-1.268,1.241,-0.999,-1.896,0.211,-0.81
0.081,-0.206,-0.176,-0.087,-0.215,-0.098,-1.947,-0.538,-1.906,0.365,-1.581,-1.624,-1.698,-0.565,-3.304,-2.891,-3.519,-3.656,-1.068,-0.999,0.2,0.211,1.139
0.081,-0.206,-0.176,-0.087,-0.299,-0.263,-0.895,-0.538,-0.896,-0.584,-0.495,-1.624,-0.647,-0.565,-1.553,-1.275,-0.496,-1.268,-1.068,-0.999,0.2,-0.811,-0.81
0.081,-0.306,-0.266,-0.177,-0.299,-0.346,-0.895,-1.407,-0.896,-0.584,-0.495,-0.623,-0.647,-0.565,-0.678,-0.467,-0.496,-1.268,-2.222,-2.02,-0.848,-0.811,-1.785
0.081,-0.106,-0.176,-0.087,-0.299,-0.098,0.158,-0.538,0.114,-0.584,-0.495,0.379,-0.647,-1.634,0.197,-0.467,-1.252,-0.473,0.087,-0.999,0.2,-0.811,1.139
-1.047,1.076,1.05,-0.325,0.634,0.693,-0.895,-0.538,-0.896,-0.584,0.59,0.379,0.404,0.505,0.197,0.341,0.26,0.323,-1.068,-0.999,0.2,-0.811,-0.81
0.081,-0.206,-0.176,-0.177,-0.215,-0.181,-0.895,-0.538,-0.896,-0.584,-0.495,-0.623,-0.647,-0.565,0.197,0.341,-0.496,-0.473,-1.068,-0.999,-0.848,0.211,0.164
0.081,-0.007,-0.176,-0.177,-0.215,-0.098,0.158,-0.538,0.114,-1.532,-0.495,-1.624,1.455,-0.565,0.197,-0.467,-0.496,1.119,1.241,-0.999,-0.848,0.211,1.139
-1.047,-0.21,1.05,0.836,0.634,0.693,-0.895,-0.538,-0.896,-0.584,-1.581,-0.623,-0.647,-0.565,0.197,0.341,0.26,0.323,0.087,-0.999,-0.848,-0.811,-0.81
-1.047,2.363,-1.277,0.836,2.815,0.693,-1.947,-1.407,0.114,-0.584,-2.667,-0.623,0.404,-1.634,-0.678,1.149,-0.496,-1.268,-2.222,1.044,-0.848,-2.855,-0.81
0.081,-0.206,-0.176,-0.177,-0.299,-0.263,-0.895,-0.538,-0.896,-0.584,-0.495,-0.623,-0.647,-0.565,0.197,-0.467,0.26,-0.473,-1.068,-0.999,-0.848,-0.811,-0.81
1.209,-1.488,-1.403,0.152,-1.232,-1.22,-0.895,-0.538,-0.896,-0.584,-0.495,0.379,0.404,-0.565,-0.678,0.341,0.26,-0.473,-1.068,-0.999,0.2,-0.811,-0.81
-1.047,-0.21,1.05,-0.325,-0.457,0.693,0.158,-0.538,-0.896,-0.584,-1.581,-1.624,-1.698,-1.634,-0.678,-0.467,-1.252,-1.268,0.087,-0.999,0.2,0.211,-0.81
-1.047,1.076,-1.277,-0.325,0.634,-0.375,0.158,-0.538,0.114,-1.532,-0.495,0.379,-0.647,0.505,-0.678,0.341,-0.496,0.323,-1.068,1.044,0.2,-0.811,0.164
0.081,-0.405,-0.266,-0.177,-0.215,-0.263,-0.895,0.331,-1.906,0.365,-1.581,-0.623,0.404,-0.565,-1.553,-0.467,-1.252,-0.473,-3.376,-2.02,-0.848,0.211,-0.81
0.081,-0.106,-0.176,-0.267,-0.215,-0.181,0.158,0.331,0.114,-1.532,0.59,-0.623,0.404,-1.634,0.197,-0.467,-1.252,0.323,0.087,-0.999,-1.896,0.211,0.164
-1.047,1.076,1.05,1.997,0.634,1.761,-0.895,-2.276,-0.896,-0.584,-0.495,-0.623,-1.698,-1.634,-2.429,-2.891,-1.252,-1.268,-1.068,-0.999,-1.896,-0.811,-1.785
-1.047,1.076,-0.114,0.836,-0.457,-0.375,-0.895,-1.407,0.114,-0.584,-1.581,-1.624,-0.647,-0.565,0.197,-0.467,-0.496,-0.473,-1.068,0.022,-0.848,0.211,0.164
0.081,-0.106,-0.176,-0.267,-0.299,-0.263,-1.947,-0.538,-0.896,-0.584,-1.581,-0.623,-1.698,-0.565,0.197,-0.467,-0.496,0.323,0.087,-0.999,-1.896,-0.811,-0.81
0.081,-0.106,-0.086,0.003,-0.215,-0.263,-0.895,-0.538,0.114,-0.584,-0.495,-0.623,0.404,-0.565,-0.678,-1.275,-0.496,-1.268,0.087,0.022,1.248,0.211,-0.81
1.209,-1.488,-0.059,-1.19,0.027,-1.22,0.158,-1.407,-0.896,-0.584,-0.495,0.379,-0.647,-1.634,0.197,0.341,-0.496,0.323,-1.068,0.022,-0.848,0.211,-0.81
0.081,-0.206,-0.086,-0.087,-0.299,-0.181,0.158,-0.538,0.114,-0.584,-0.495,0.379,0.404,1.574,1.072,0.341,0.26,-0.473,-1.068,0.022,0.2,-0.811,0.164
-1.047,-0.21,-0.114,-0.325,0.634,-0.375,0.158,-0.538,0.114,-0.584,-0.495,0.379,0.404,0.505,0.197,-0.467,-0.496,0.323,0.087,0.022,0.2,-0.811,0.164
0.081,-0.206,-0.176,-0.177,-0.299,-0.181,-0.895,0.331,-0.896,0.365,-0.495,0.379,0.404,0.505,-0.678,0.341,0.26,-0.473,-1.068,-0.999,-0.848,-0.811,0.164
0.081,-0.206,-0.176,-0.267,-0.299,-0.263,0.158,-0.538,0.114,-0.584,-1.581,-0.623,-1.698,-1.634,-1.553,-2.083,-1.252,-2.064,-1.068,-0.999,-1.896,-0.811,-0.81
0.081,-0.206,-0.086,-0.177,-0.215,-0.263,-0.895,-0.538,-0.896,-0.584,0.59,-0.623,0.404,-0.565,-0.678,0.341,-0.496,0.323,-1.068,0.022,-0.848,0.211,-0.81
0.081,-0.206,-0.176,-0.177,-0.215,-0.263,-0.895,-0.538,-0.896,-0.584,-0.495,0.379,-0.647,-0.565,0.197,-0.467,-0.496,-0.473,-1.068,-0.999,-0.848,0.211,-0.81
-1.047,1.076,-0.114,0.836,-0.457,-1.443,-0.895,-0.538,-0.896,-0.584,-0.495,0.379,1.455,0.505,-0.678,0.341,-0.496,0.323,-1.068,0.022,-0.848,0.211,1.139
0.081,-0.106,-0.086,-0.177,-0.299,-0.263,0.158,-0.538,0.114,-0.584,0.59,-0.623,-0.647,0.505,0.197,-0.467,-0.496,-0.473,0.087,0.022,-0.848,-0.811,-0.81
0.081,-0.106,-0.086,-0.177,-0.299,-0.181,-0.895,-0.538,0.114,-0.584,-0.495,0.379,-0.647,-0.565,0.197,-0.467,-1.252,-1.268,0.087,0.022,-0.848,-0.811,0.164
-1.047,1.076,2.214,0.836,-0.457,0.693,0.158,-0.538,0.114,-0.584,-1.581,-0.623,-1.698,-0.565,-1.553,-1.275,-1.252,-1.268,-1.068,-2.02,-0.848,0.211,-0.81
-1.047,1.076,-0.114,-0.325,0.634,0.693,0.158,-0.538,0.114,-0.584,-0.495,0.379,0.404,0.505,0.197,0.341,1.016,0.323,-1.068,0.022,0.2,-0.811,-0.81
-1.047,1.076,1.05,0.836,1.724,0.693,-0.895,-0.538,0.114,-0.584,-1.581,-0.623,-0.647,-1.634,0.197,-0.467,0.26,-0.473,-1.068,-0.999,-0.848,-1.833,-0.81
-1.047,-0.21,-1.277,-0.325,0.634,0.693,1.211,-1.407,-0.896,0.365,-1.581,0.379,-0.647,-0.565,1.072,1.149,1.016,-1.268,0.087,1.044,0.2,-0.811,-0.81
-1.047,-0.21,1.05,0.836,-1.548,-0.375,0.158,-0.538,0.114,-0.584,-0.495,-1.624,0.404,-0.565,0.197,1.149,1.016,1.119,0.087,-0.999,-0.848,1.233,0.164
0.081,-0.206,-0.176,-0.087,-0.215,-0.263,-0.895,-0.538,-0.896,-0.584,-0.495,0.379,-0.647,-0.565,1.072,0.341,0.26,1.119,-1.068,-0.999,0.2,0.211,-0.81
1.209,-2.975,-1.403,0.152,-2.492,-1.22,-0.895,-0.538,-0.896,-0.584,-1.581,-0.623,0.404,-1.634,-1.553,-0.467,0.26,1.119,-2.222,-0.999,0.2,-1.833,-0.81
-1.047,1.076,1.05,0.836,-0.457,-0.375,-0.895,-0.538,-0.896,-0.584,-0.495,0.379,-0.647,0.505,-0.678,0.341,0.26,-0.473,-1.068,-0.999,-0.848,0.211,0.164
0.081,-0.106,0.004,-0.087,-0.215,-0.181,-0.895,0.331,0.114,-0.584,-0.495,0.379,-0.647,0.505,-1.553,-2.083,-2.008,-1.268,0.087,1.044,0.2,0.211,0.164
0.081,-0.206,-0.086,-0.177,-0.299,-0.346,-0.895,0.331,-0.896,-0.584,-0.495,-1.624,-0.647,0.505,-0.678,0.341,0.26,1.119,-1.068,0.022,-0.848,-0.811,-1.785
0.081,-0.206,-0.176,-0.087,-0.215,-0.263,0.158,-0.538,-0.896,-0.584,-0.495,-0.623,-1.698,-1.634,-3.304,-2.083,-2.763,-2.86,-1.068,-0.999,0.2,0.211,-0.81
0.081,-0.007,0.004,-0.087,-0.13,-0.098,0.158,-0.538,-0.896,-0.584,0.59,1.38,0.404,0.505,0.197,1.149,1.016,0.323,1.241,1.044,0.2,1.233,1.139
0.081,-0.206,-0.176,-0.267,-0.299,-0.263,0.158,0.331,0.114,-0.584,-0.495,-0.623,0.404,-0.565,0.197,0.341,1.016,0.323,-1.068,-0.999,-1.896,-0.811,-0.81
0.081,-0.106,-0.086,-0.177,-0.215,-0.263,0.158,0.331,0.114,-0.584,-1.581,-0.623,-1.698,-0.565,0.197,0.341,0.26,1.119,0.087,0.022,-0.848,0.211,-0.81
-1.047,-0.21,-1.277,-0.325,-0.457,-1.443,-0.895,0.331,-1.906,0.365,0.59,-1.624,0.404,-0.565,-0.678,0.341,0.26,-1.268,0.087,1.044,0.2,0.211,1.139
0.081,-0.306,-0.176,-0.267,-0.299,-0.346,1.211,-0.538,0.114,-0.584,-0.495,-0.623,-0.647,-0.565,1.072,-0.467,-0.496,0.323,-2.222,-0.999,-1.896,-0.811,-1.785
1.209,-0.002,-0.059,-1.19,0.027,0.014,1.211,0.331,0.114,-0.584,-1.581,-0.623,-0.647,0.505,-1.553,-0.467,-0.496,0.323,0.087,0.022,-0.848,0.211,0.164
2.338,-2.771,-0.031,0.39,2.705,-2.176,0.158,1.201,0.114,-0.584,-0.495,-1.624,-0.647,-0.565,-1.553,-2.083,-2.008,-1.268,-1.068,0.022,0.2,1.233,-0.81
2.338,0.102,-2.629,2.982,0.27,0.208,1.211,0.331,-0.896,0.365,-0.495,0.379,0.404,-0.565,0.197,0.341,-0.496,-0.473,0.087,-0.999,1.248,0.211,0.164
0.081,-0.206,-0.086,-0.087,-0.299,-0.263,-0.895,0.331,0.114,-0.584,-0.495,-0.623,0.404,-0.565,1.072,0.341,1.016,-0.473,-1.068,0.022,0.2,-0.811,-0.81
0.081,-0.206,-0.086,-0.087,-0.299,-0.181,-0.895,1.201,-0.896,-0.584,-0.495,0.379,-0.647,-0.565,-0.678,0.341,1.016,0.323,-1.068,0.022,0.2,-0.811,0.164
0.081,-0.106,0.004,-0.087,-0.13,-0.098,1.211,-0.538,0.114,-0.584,-0.495,-0.623,0.404,-0.565,0.197,0.341,0.26,1.119,0.087,1.044,0.2,1.233,1.139
0.081,-0.007,-0.086,0.003,-0.299,-0.181,0.158,1.201,-0.896,-0.584,-0.495,-1.624,1.455,-0.565,0.197,1.149,-0.496,0.323,1.241,0.022,1.248,-0.811,0.164
-1.047,-0.21,-1.277,0.836,0.634,-0.375,1.211,0.331,-0.896,0.365,-0.495,1.38,1.455,-0.565,1.072,1.149,-0.496,0.323,0.087,1.044,-0.848,-0.811,0.164
0.081,-0.206,-0.086,0.003,-0.215,-0.263,0.158,-0.538,0.114,-0.584,0.59,1.38,1.455,-0.565,-0.678,0.341,1.016,0.323,-1.068,0.022,1.248,0.211,-0.81
0.081,-0.106,0.004,-0.177,-0.215,-0.263,0.158,0.331,0.114,-0.584,0.59,1.38,1.455,-0.565,-0.678,0.341,-0.496,-1.268,0.087,1.044,-0.848,0.211,-0.81
1.209,-1.488,-0.059,0.152,1.287,0.014,0.158,1.201,-0.896,0.365,-0.495,-0.623,0.404,0.505,-0.678,-0.467,0.26,0.323,-1.068,0.022,0.2,1.233,0.164
-1.047,-0.21,-1.277,-1.487,-1.548,0.693,1.211,0.331,0.114,-0.584,0.59,1.38,0.404,1.574,1.072,1.149,1.016,0.323,0.087,1.044,1.248,1.233,-0.81
1.209,-0.002,-0.059,1.493,1.287,0.014,0.158,1.201,-0.896,0.365,-0.495,-0.623,0.404,0.505,0.197,-0.467,1.016,0.323,0.087,0.022,1.248,1.233,0.164
0.081,-0.106,0.004,-0.087,-0.13,-0.098,1.211,0.331,-0.896,-0.584,-0.495,0.379,0.404,1.574,-0.678,1.149,1.016,1.119,0.087,1.044,0.2,1.233,1.139
1.209,1.484,1.285,-6.554,0.027,0.014,1.211,0.331,0.114,-1.532,1.676,0.379,-0.647,0.505,1.072,1.149,1.016,1.119,1.241,1.044,-5.04,0.211,0.164
